ComplaintID,DateKey,Date,AirlineCode,AirportCode,Category,ComplaintStatus,DaysToResolve,ResolutionQualityScore,FollowUpRequired,ChannelSubmitted,ComplaintDescription
CP001507,20230829,2023-08-29,AK,PEN,In-flight Service,Resolved,9,2,No,Social Media,Poor in-flight service quality reported by passengers
CP001508,20240802,2024-08-02,AK,BKI,Refund/Compensation,Resolved,8,5,No,Website,Delay in processing refund or compensation claim
CP001509,20230926,2023-09-26,MH,TWU,Check-in Service,In Progress,42,,No,Email,"Long queue at check-in counter, insufficient staff"
CP001510,20240418,2024-04-18,AK,TGG,Other,Resolved,21,3,Yes,Social Media,Miscellaneous passenger complaint
CP001511,20231101,2023-11-01,MF,TGG,In-flight Service,Resolved,7,5,No,Website,Poor in-flight service quality reported by passengers
CP001512,20231108,2023-11-08,MH,SBW,Flight Delay,Resolved,10,4,No,Website,Flight delayed without adequate notification to passengers
CP001513,20240405,2024-04-05,AK,TGG,Check-in Service,In Progress,30,,No,Email,"Long queue at check-in counter, insufficient staff"
CP001514,20240907,2024-09-07,AK,AOR,Check-in Service,Pending,,,Yes,Counter,"Long queue at check-in counter, insufficient staff"
CP001515,20231211,2023-12-11,FY,AOR,Flight Delay,Resolved,1,3,No,Phone,Flight delayed without adequate notification to passengers
CP001516,20240325,2024-03-25,AK,KUA,Flight Delay,Escalated,,,No,Website,Flight delayed without adequate notification to passengers
CP001517,20230815,2023-08-15,OD,AOR,Check-in Service,In Progress,43,,No,Counter,"Long queue at check-in counter, insufficient staff"
CP001518,20240501,2024-05-01,AK,LGK,Refund/Compensation,In Progress,16,,No,Social Media,Delay in processing refund or compensation claim
CP001519,20240503,2024-05-03,AK,PEN,Baggage Handling,Resolved,8,2,No,Website,Baggage delayed / damaged / lost upon arrival
CP001520,20230528,2023-05-28,AK,KUL,Flight Delay,Pending,,,No,Website,Flight delayed without adequate notification to passengers
CP001521,20230122,2023-01-22,MF,KUL,Check-in Service,Resolved,15,5,No,Website,"Long queue at check-in counter, insufficient staff"
CP001522,20241006,2024-10-06,FY,KUA,Baggage Handling,Resolved,20,5,Yes,Email,Baggage delayed / damaged / lost upon arrival
CP001523,20240912,2024-09-12,MF,IPH,Flight Delay,Resolved,5,3,No,Website,Flight delayed without adequate notification to passengers
CP001524,20230205,2023-02-05,AK,JHB,Flight Delay,Resolved,7,3,No,Website,Flight delayed without adequate notification to passengers
CP001525,20230607,2023-06-07,AK,MYY,Ground Staff Attitude,Resolved,3,4,No,Website,Unprofessional behaviour from ground handling staff
CP001526,20231029,2023-10-29,FY,BKI,Ground Staff Attitude,Resolved,12,5,Yes,Email,Unprofessional behaviour from ground handling staff
CP001527,20230510,2023-05-10,OD,JHB,Flight Delay,Escalated,,,No,Email,Flight delayed without adequate notification to passengers
CP001528,20240409,2024-04-09,AK,LGK,Refund/Compensation,Resolved,21,4,No,Email,Delay in processing refund or compensation claim
CP001529,20240707,2024-07-07,MH,LGK,In-flight Service,Resolved,3,3,No,Social Media,Poor in-flight service quality reported by passengers
CP001530,20230923,2023-09-23,FY,LGK,Baggage Handling,In Progress,31,,No,Phone,Baggage delayed / damaged / lost upon arrival
CP001531,20231108,2023-11-08,AK,KCH,Baggage Handling,Resolved,12,5,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001532,20230523,2023-05-23,AK,PEN,Ground Staff Attitude,Resolved,7,2,No,Email,Unprofessional behaviour from ground handling staff
CP001533,20240510,2024-05-10,AK,JHB,Flight Delay,In Progress,29,,No,Website,Flight delayed without adequate notification to passengers
CP001534,20230308,2023-03-08,FY,AOR,Safety Concern,Resolved,3,5,Yes,Social Media,Passenger reported safety-related concern onboard
CP001535,20240904,2024-09-04,OD,SBW,Check-in Service,Resolved,17,4,Yes,Website,"Long queue at check-in counter, insufficient staff"
CP001536,20240106,2024-01-06,OD,KUL,Ground Staff Attitude,Resolved,12,4,Yes,Phone,Unprofessional behaviour from ground handling staff
CP001537,20231009,2023-10-09,AK,TGG,Refund/Compensation,Resolved,3,5,Yes,Social Media,Delay in processing refund or compensation claim
CP001538,20231128,2023-11-28,FY,KCH,Refund/Compensation,Resolved,5,5,No,Email,Delay in processing refund or compensation claim
CP001539,20240516,2024-05-16,AK,KCH,Baggage Handling,Resolved,9,5,Yes,Email,Baggage delayed / damaged / lost upon arrival
CP001540,20240627,2024-06-27,AK,KUL,Refund/Compensation,Resolved,13,3,No,Phone,Delay in processing refund or compensation claim
CP001541,20230914,2023-09-14,AK,TWU,Baggage Handling,Escalated,,,No,Website,Baggage delayed / damaged / lost upon arrival
CP001542,20230601,2023-06-01,D7,SBW,Baggage Handling,In Progress,41,,No,Phone,Baggage delayed / damaged / lost upon arrival
CP001543,20240121,2024-01-21,FY,TGG,Flight Delay,In Progress,34,,No,Website,Flight delayed without adequate notification to passengers
CP001544,20230415,2023-04-15,D7,PEN,Baggage Handling,Resolved,20,5,No,Website,Baggage delayed / damaged / lost upon arrival
CP001545,20230215,2023-02-15,AK,KBR,Ground Staff Attitude,In Progress,25,,Yes,Website,Unprofessional behaviour from ground handling staff
CP001546,20231217,2023-12-17,OD,KBR,Check-in Service,In Progress,22,,No,Email,"Long queue at check-in counter, insufficient staff"
CP001547,20240126,2024-01-26,AK,MYY,Flight Delay,Resolved,5,5,No,Website,Flight delayed without adequate notification to passengers
CP001548,20230422,2023-04-22,D7,KUA,Check-in Service,Pending,,,Yes,Website,"Long queue at check-in counter, insufficient staff"
CP001549,20231225,2023-12-25,FY,KUL,Baggage Handling,Resolved,13,3,No,Social Media,Baggage delayed / damaged / lost upon arrival
CP001550,20231227,2023-12-27,AK,AOR,Flight Delay,Resolved,7,4,No,Email,Flight delayed without adequate notification to passengers
CP001551,20240809,2024-08-09,AK,SDK,Flight Delay,Pending,,,Yes,Website,Flight delayed without adequate notification to passengers
CP001552,20240206,2024-02-06,OD,SDK,Refund/Compensation,In Progress,22,,No,Website,Delay in processing refund or compensation claim
CP001553,20241022,2024-10-22,FY,KBR,Flight Delay,Resolved,7,4,Yes,Social Media,Flight delayed without adequate notification to passengers
CP001554,20230825,2023-08-25,MF,PEN,Flight Delay,In Progress,20,,No,Counter,Flight delayed without adequate notification to passengers
CP001555,20230808,2023-08-08,AK,JHB,Baggage Handling,In Progress,30,,No,Email,Baggage delayed / damaged / lost upon arrival
CP001556,20231003,2023-10-03,AK,IPH,Baggage Handling,Resolved,12,3,No,Email,Baggage delayed / damaged / lost upon arrival
CP001557,20240320,2024-03-20,AK,BKI,Flight Delay,Escalated,,,Yes,Email,Flight delayed without adequate notification to passengers
CP001558,20240217,2024-02-17,MH,IPH,Ground Staff Attitude,Escalated,,,No,Email,Unprofessional behaviour from ground handling staff
CP001559,20240428,2024-04-28,AK,IPH,Refund/Compensation,Resolved,10,3,Yes,Phone,Delay in processing refund or compensation claim
CP001560,20240430,2024-04-30,MH,JHB,Baggage Handling,Resolved,15,3,No,Email,Baggage delayed / damaged / lost upon arrival
CP001561,20240609,2024-06-09,AK,TGG,Flight Delay,Pending,,,Yes,Phone,Flight delayed without adequate notification to passengers
CP001562,20240401,2024-04-01,AK,KUL,Check-in Service,Resolved,15,5,Yes,Counter,"Long queue at check-in counter, insufficient staff"
CP001563,20231104,2023-11-04,MF,TWU,Baggage Handling,Resolved,12,4,No,Phone,Baggage delayed / damaged / lost upon arrival
CP001564,20240509,2024-05-09,D7,TGG,Flight Delay,Resolved,9,5,Yes,Phone,Flight delayed without adequate notification to passengers
CP001565,20240407,2024-04-07,MH,SBW,Baggage Handling,Pending,,,Yes,Phone,Baggage delayed / damaged / lost upon arrival
CP001566,20230219,2023-02-19,FY,TWU,Flight Delay,Resolved,19,5,No,Counter,Flight delayed without adequate notification to passengers
CP001567,20231012,2023-10-12,MF,BKI,Check-in Service,Resolved,21,4,Yes,Counter,"Long queue at check-in counter, insufficient staff"
CP001568,20230122,2023-01-22,OD,SDK,Check-in Service,Resolved,18,3,No,Email,"Long queue at check-in counter, insufficient staff"
CP001569,20240628,2024-06-28,MF,LGK,Check-in Service,In Progress,29,,No,Counter,"Long queue at check-in counter, insufficient staff"
CP001570,20231028,2023-10-28,FY,LGK,In-flight Service,In Progress,36,,No,Email,Poor in-flight service quality reported by passengers
CP001571,20241208,2024-12-08,AK,KUL,Flight Delay,Resolved,10,2,No,Website,Flight delayed without adequate notification to passengers
CP001572,20231201,2023-12-01,MH,SDK,Flight Delay,In Progress,29,,No,Website,Flight delayed without adequate notification to passengers
CP001573,20240325,2024-03-25,D7,TWU,Check-in Service,Resolved,5,4,Yes,Phone,"Long queue at check-in counter, insufficient staff"
CP001574,20231112,2023-11-12,AK,AOR,In-flight Service,Resolved,2,2,Yes,Phone,Poor in-flight service quality reported by passengers
CP001575,20230930,2023-09-30,AK,MYY,In-flight Service,Resolved,11,3,No,Phone,Poor in-flight service quality reported by passengers
CP001576,20240623,2024-06-23,MF,TGG,Baggage Handling,In Progress,42,,No,Social Media,Baggage delayed / damaged / lost upon arrival
CP001577,20230319,2023-03-19,MH,SBW,In-flight Service,Resolved,6,4,No,Website,Poor in-flight service quality reported by passengers
CP001578,20240330,2024-03-30,MF,TGG,Flight Delay,In Progress,34,,No,Social Media,Flight delayed without adequate notification to passengers
CP001579,20240216,2024-02-16,AK,KCH,Flight Delay,Resolved,6,5,No,Email,Flight delayed without adequate notification to passengers
CP001580,20230805,2023-08-05,MH,JHB,Check-in Service,In Progress,5,,No,Email,"Long queue at check-in counter, insufficient staff"
CP001581,20230807,2023-08-07,D7,AOR,Check-in Service,In Progress,15,,No,Counter,"Long queue at check-in counter, insufficient staff"
CP001582,20230523,2023-05-23,FY,BKI,Flight Delay,Pending,,,No,Website,Flight delayed without adequate notification to passengers
CP001583,20231213,2023-12-13,D7,KUA,Baggage Handling,Resolved,8,5,No,Website,Baggage delayed / damaged / lost upon arrival
CP001584,20241012,2024-10-12,MH,SBW,Baggage Handling,In Progress,31,,No,Website,Baggage delayed / damaged / lost upon arrival
CP001585,20230303,2023-03-03,MH,IPH,Baggage Handling,Resolved,10,2,Yes,Website,Baggage delayed / damaged / lost upon arrival
CP001586,20231221,2023-12-21,FY,TGG,Refund/Compensation,Resolved,5,5,No,Email,Delay in processing refund or compensation claim
CP001587,20230509,2023-05-09,AK,KBR,In-flight Service,Resolved,2,3,Yes,Counter,Poor in-flight service quality reported by passengers
CP001588,20241229,2024-12-29,AK,TWU,Flight Delay,Pending,,,No,Website,Flight delayed without adequate notification to passengers
CP001589,20231021,2023-10-21,AK,TWU,Flight Delay,In Progress,36,,Yes,Phone,Flight delayed without adequate notification to passengers
CP001590,20230202,2023-02-02,OD,BKI,Flight Delay,Resolved,9,4,Yes,Website,Flight delayed without adequate notification to passengers
CP001591,20240821,2024-08-21,AK,IPH,Refund/Compensation,In Progress,5,,No,Phone,Delay in processing refund or compensation claim
CP001592,20240828,2024-08-28,D7,KCH,Flight Delay,Escalated,,,Yes,Website,Flight delayed without adequate notification to passengers
CP001593,20230102,2023-01-02,AK,BKI,In-flight Service,Resolved,1,2,No,Email,Poor in-flight service quality reported by passengers
CP001594,20240411,2024-04-11,OD,JHB,Baggage Handling,Resolved,4,4,No,Phone,Baggage delayed / damaged / lost upon arrival
CP001595,20240617,2024-06-17,D7,KBR,Flight Delay,Resolved,20,2,No,Counter,Flight delayed without adequate notification to passengers
CP001596,20240630,2024-06-30,FY,IPH,Check-in Service,Resolved,6,3,Yes,Website,"Long queue at check-in counter, insufficient staff"
CP001597,20230909,2023-09-09,AK,KUL,Baggage Handling,Pending,,,Yes,Email,Baggage delayed / damaged / lost upon arrival
CP001598,20240505,2024-05-05,AK,IPH,Check-in Service,In Progress,24,,Yes,Counter,"Long queue at check-in counter, insufficient staff"
CP001599,20240128,2024-01-28,AK,TGG,Flight Delay,Pending,,,Yes,Website,Flight delayed without adequate notification to passengers
CP001600,20231213,2023-12-13,MF,TGG,Safety Concern,Resolved,15,3,Yes,Website,Passenger reported safety-related concern onboard
CP001601,20241002,2024-10-02,AK,AOR,Flight Delay,Resolved,10,4,Yes,Website,Flight delayed without adequate notification to passengers
CP001602,20230827,2023-08-27,AK,IPH,Baggage Handling,In Progress,8,,No,Social Media,Baggage delayed / damaged / lost upon arrival
CP001603,20230425,2023-04-25,MH,LGK,Check-in Service,In Progress,42,,Yes,Website,"Long queue at check-in counter, insufficient staff"
CP001604,20240223,2024-02-23,OD,KUL,Flight Delay,Pending,,,No,Website,Flight delayed without adequate notification to passengers
CP001605,20240217,2024-02-17,FY,LGK,Flight Delay,Escalated,,,No,Counter,Flight delayed without adequate notification to passengers
CP001606,20240920,2024-09-20,MH,KCH,Flight Delay,In Progress,17,,No,Website,Flight delayed without adequate notification to passengers
CP001607,20240404,2024-04-04,OD,JHB,Refund/Compensation,In Progress,44,,No,Email,Delay in processing refund or compensation claim
CP001608,20231104,2023-11-04,AK,BKI,Check-in Service,In Progress,28,,No,Counter,"Long queue at check-in counter, insufficient staff"
CP001609,20240424,2024-04-24,D7,SDK,Baggage Handling,Resolved,12,2,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001610,20240202,2024-02-02,AK,KBR,Flight Delay,Resolved,9,4,No,Counter,Flight delayed without adequate notification to passengers
CP001611,20231105,2023-11-05,AK,TGG,Ground Staff Attitude,Resolved,13,2,Yes,Phone,Unprofessional behaviour from ground handling staff
CP001612,20240116,2024-01-16,FY,TGG,Ground Staff Attitude,Escalated,,,Yes,Website,Unprofessional behaviour from ground handling staff
CP001613,20240303,2024-03-03,MH,JHB,In-flight Service,In Progress,32,,No,Counter,Poor in-flight service quality reported by passengers
CP001614,20240313,2024-03-13,AK,KBR,Flight Delay,Pending,,,No,Website,Flight delayed without adequate notification to passengers
CP001615,20230221,2023-02-21,AK,PEN,Baggage Handling,Resolved,9,5,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001616,20240906,2024-09-06,AK,BKI,Check-in Service,Resolved,1,2,No,Website,"Long queue at check-in counter, insufficient staff"
CP001617,20241106,2024-11-06,MF,PEN,Ground Staff Attitude,Resolved,16,2,Yes,Social Media,Unprofessional behaviour from ground handling staff
CP001618,20240219,2024-02-19,MH,KBR,Refund/Compensation,Resolved,10,5,No,Social Media,Delay in processing refund or compensation claim
CP001619,20240522,2024-05-22,MH,TWU,Flight Delay,Resolved,17,4,No,Phone,Flight delayed without adequate notification to passengers
CP001620,20240115,2024-01-15,MH,KUL,Refund/Compensation,Resolved,14,2,No,Phone,Delay in processing refund or compensation claim
CP001621,20230625,2023-06-25,AK,JHB,Baggage Handling,Resolved,13,4,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001622,20230312,2023-03-12,OD,BKI,In-flight Service,Resolved,13,3,No,Email,Poor in-flight service quality reported by passengers
CP001623,20230209,2023-02-09,FY,SBW,Ground Staff Attitude,Pending,,,No,Email,Unprofessional behaviour from ground handling staff
CP001624,20230606,2023-06-06,OD,BKI,Safety Concern,Resolved,19,4,Yes,Website,Passenger reported safety-related concern onboard
CP001625,20240129,2024-01-29,D7,SBW,Flight Delay,Resolved,18,2,No,Website,Flight delayed without adequate notification to passengers
CP001626,20240915,2024-09-15,AK,SBW,Flight Delay,Escalated,,,No,Counter,Flight delayed without adequate notification to passengers
CP001627,20241218,2024-12-18,OD,TGG,Ground Staff Attitude,Resolved,12,5,No,Social Media,Unprofessional behaviour from ground handling staff
CP001628,20241217,2024-12-17,MF,PEN,Refund/Compensation,Resolved,21,4,No,Counter,Delay in processing refund or compensation claim
CP001629,20240217,2024-02-17,MH,KCH,Ground Staff Attitude,In Progress,12,,No,Counter,Unprofessional behaviour from ground handling staff
CP001630,20231029,2023-10-29,AK,KBR,Flight Delay,Resolved,12,3,No,Website,Flight delayed without adequate notification to passengers
CP001631,20240728,2024-07-28,MF,KCH,Ground Staff Attitude,Resolved,14,5,Yes,Email,Unprofessional behaviour from ground handling staff
CP001632,20240609,2024-06-09,MF,BKI,Flight Delay,Resolved,3,2,No,Email,Flight delayed without adequate notification to passengers
CP001633,20230106,2023-01-06,MH,LGK,Ground Staff Attitude,Resolved,2,2,Yes,Counter,Unprofessional behaviour from ground handling staff
CP001634,20230128,2023-01-28,MF,JHB,Check-in Service,Pending,,,No,Email,"Long queue at check-in counter, insufficient staff"
CP001635,20241017,2024-10-17,MF,TWU,Flight Delay,Resolved,12,5,Yes,Website,Flight delayed without adequate notification to passengers
CP001636,20241123,2024-11-23,D7,SBW,Flight Delay,Resolved,20,3,Yes,Email,Flight delayed without adequate notification to passengers
CP001637,20230923,2023-09-23,AK,AOR,Baggage Handling,Resolved,9,4,No,Email,Baggage delayed / damaged / lost upon arrival
CP001638,20240403,2024-04-03,OD,MYY,Flight Delay,Pending,,,No,Website,Flight delayed without adequate notification to passengers
CP001639,20240216,2024-02-16,AK,JHB,Ground Staff Attitude,Resolved,9,4,No,Social Media,Unprofessional behaviour from ground handling staff
CP001640,20230326,2023-03-26,AK,LGK,Flight Delay,Resolved,16,5,No,Email,Flight delayed without adequate notification to passengers
CP001641,20241220,2024-12-20,D7,KCH,Flight Delay,Resolved,4,3,Yes,Phone,Flight delayed without adequate notification to passengers
CP001642,20230524,2023-05-24,OD,SDK,Ground Staff Attitude,Resolved,17,3,No,Email,Unprofessional behaviour from ground handling staff
CP001643,20230312,2023-03-12,AK,TGG,Flight Delay,Resolved,2,4,No,Website,Flight delayed without adequate notification to passengers
CP001644,20240327,2024-03-27,AK,TWU,Flight Delay,Pending,,,No,Counter,Flight delayed without adequate notification to passengers
CP001645,20240328,2024-03-28,AK,BKI,Flight Delay,Resolved,15,3,No,Email,Flight delayed without adequate notification to passengers
CP001646,20240428,2024-04-28,OD,KCH,Flight Delay,In Progress,39,,No,Website,Flight delayed without adequate notification to passengers
CP001647,20231117,2023-11-17,MF,KBR,Flight Delay,Resolved,14,5,No,Website,Flight delayed without adequate notification to passengers
CP001648,20240103,2024-01-03,AK,MYY,Flight Delay,Resolved,16,5,Yes,Phone,Flight delayed without adequate notification to passengers
CP001649,20240311,2024-03-11,D7,BKI,Flight Delay,Resolved,15,2,No,Counter,Flight delayed without adequate notification to passengers
CP001650,20231224,2023-12-24,AK,SDK,Baggage Handling,Escalated,,,No,Email,Baggage delayed / damaged / lost upon arrival
CP001651,20230216,2023-02-16,MF,AOR,In-flight Service,Resolved,8,2,No,Website,Poor in-flight service quality reported by passengers
CP001652,20230810,2023-08-10,MH,AOR,Flight Delay,Resolved,1,4,No,Phone,Flight delayed without adequate notification to passengers
CP001653,20230428,2023-04-28,AK,SBW,Ground Staff Attitude,Escalated,,,Yes,Counter,Unprofessional behaviour from ground handling staff
CP001654,20240601,2024-06-01,MF,MYY,Check-in Service,In Progress,33,,Yes,Email,"Long queue at check-in counter, insufficient staff"
CP001655,20240908,2024-09-08,OD,SBW,Flight Delay,Resolved,12,5,No,Counter,Flight delayed without adequate notification to passengers
CP001656,20240103,2024-01-03,AK,PEN,In-flight Service,Resolved,10,5,Yes,Social Media,Poor in-flight service quality reported by passengers
CP001657,20231102,2023-11-02,MH,KCH,Flight Delay,Resolved,2,5,No,Counter,Flight delayed without adequate notification to passengers
CP001658,20240627,2024-06-27,MF,TGG,Refund/Compensation,Pending,,,Yes,Email,Delay in processing refund or compensation claim
CP001659,20240714,2024-07-14,AK,KUA,Baggage Handling,Resolved,16,4,No,Website,Baggage delayed / damaged / lost upon arrival
CP001660,20240809,2024-08-09,FY,KCH,Flight Delay,Resolved,1,4,No,Website,Flight delayed without adequate notification to passengers
CP001661,20240223,2024-02-23,AK,KBR,Refund/Compensation,Resolved,17,3,No,Phone,Delay in processing refund or compensation claim
CP001662,20231202,2023-12-02,MH,TWU,Flight Delay,Resolved,21,2,Yes,Website,Flight delayed without adequate notification to passengers
CP001663,20230902,2023-09-02,AK,BKI,Other,Pending,,,No,Counter,Miscellaneous passenger complaint
CP001664,20240407,2024-04-07,OD,SBW,Other,Resolved,11,2,No,Email,Miscellaneous passenger complaint
CP001665,20241230,2024-12-30,D7,LGK,Flight Delay,Resolved,18,2,No,Email,Flight delayed without adequate notification to passengers
CP001666,20230525,2023-05-25,AK,PEN,Flight Delay,Resolved,15,5,No,Website,Flight delayed without adequate notification to passengers
CP001667,20230327,2023-03-27,MF,SDK,Baggage Handling,Resolved,19,5,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001668,20240806,2024-08-06,AK,LGK,Flight Delay,Resolved,19,3,No,Counter,Flight delayed without adequate notification to passengers
CP001669,20230606,2023-06-06,OD,TGG,Flight Delay,Resolved,7,4,No,Counter,Flight delayed without adequate notification to passengers
CP001670,20241202,2024-12-02,AK,SDK,Flight Delay,Resolved,15,4,No,Email,Flight delayed without adequate notification to passengers
CP001671,20230921,2023-09-21,OD,IPH,Flight Delay,Resolved,10,4,No,Counter,Flight delayed without adequate notification to passengers
CP001672,20241226,2024-12-26,AK,KBR,Flight Delay,Resolved,2,3,No,Counter,Flight delayed without adequate notification to passengers
CP001673,20240725,2024-07-25,AK,KCH,Flight Delay,Escalated,,,No,Email,Flight delayed without adequate notification to passengers
CP001674,20230510,2023-05-10,OD,AOR,Other,Resolved,7,2,No,Phone,Miscellaneous passenger complaint
CP001675,20231220,2023-12-20,OD,SDK,Flight Delay,Resolved,18,2,No,Counter,Flight delayed without adequate notification to passengers
CP001676,20240929,2024-09-29,MH,KBR,Refund/Compensation,Escalated,,,Yes,Counter,Delay in processing refund or compensation claim
CP001677,20230921,2023-09-21,MH,SDK,Flight Delay,Resolved,17,2,No,Counter,Flight delayed without adequate notification to passengers
CP001678,20240408,2024-04-08,AK,SBW,Flight Delay,Resolved,1,3,Yes,Phone,Flight delayed without adequate notification to passengers
CP001679,20240228,2024-02-28,OD,KBR,In-flight Service,Resolved,21,4,Yes,Counter,Poor in-flight service quality reported by passengers
CP001680,20231207,2023-12-07,AK,SBW,Baggage Handling,Escalated,,,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001681,20230721,2023-07-21,OD,LGK,Baggage Handling,In Progress,6,,No,Website,Baggage delayed / damaged / lost upon arrival
CP001682,20230714,2023-07-14,AK,TGG,Refund/Compensation,Pending,,,No,Website,Delay in processing refund or compensation claim
CP001683,20230110,2023-01-10,MF,PEN,Flight Delay,Resolved,1,5,No,Counter,Flight delayed without adequate notification to passengers
CP001684,20240327,2024-03-27,OD,PEN,Flight Delay,Pending,,,No,Email,Flight delayed without adequate notification to passengers
CP001685,20240316,2024-03-16,AK,KCH,Baggage Handling,Resolved,12,2,No,Website,Baggage delayed / damaged / lost upon arrival
CP001686,20240923,2024-09-23,AK,AOR,Baggage Handling,Resolved,17,5,No,Phone,Baggage delayed / damaged / lost upon arrival
CP001687,20240202,2024-02-02,AK,SDK,Other,Escalated,,,No,Phone,Miscellaneous passenger complaint
CP001688,20240620,2024-06-20,FY,KUL,Flight Delay,Resolved,11,3,No,Website,Flight delayed without adequate notification to passengers
CP001689,20241030,2024-10-30,MH,MYY,Baggage Handling,Resolved,1,5,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001690,20240119,2024-01-19,AK,SDK,Cleanliness,Resolved,6,5,No,Website,Aircraft or terminal cleanliness below acceptable standard
CP001691,20230524,2023-05-24,AK,MYY,In-flight Service,In Progress,31,,No,Email,Poor in-flight service quality reported by passengers
CP001692,20241204,2024-12-04,MF,AOR,Other,In Progress,33,,No,Website,Miscellaneous passenger complaint
CP001693,20240913,2024-09-13,MF,JHB,Baggage Handling,Pending,,,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001694,20240621,2024-06-21,MF,AOR,Flight Delay,In Progress,36,,No,Counter,Flight delayed without adequate notification to passengers
CP001695,20230906,2023-09-06,OD,JHB,Baggage Handling,In Progress,17,,Yes,Phone,Baggage delayed / damaged / lost upon arrival
CP001696,20241109,2024-11-09,AK,JHB,Baggage Handling,Resolved,14,4,Yes,Social Media,Baggage delayed / damaged / lost upon arrival
CP001697,20230210,2023-02-10,D7,JHB,Flight Delay,Resolved,1,2,No,Website,Flight delayed without adequate notification to passengers
CP001698,20231208,2023-12-08,AK,IPH,Safety Concern,Resolved,14,2,No,Social Media,Passenger reported safety-related concern onboard
CP001699,20230526,2023-05-26,AK,PEN,Cleanliness,Resolved,11,4,No,Email,Aircraft or terminal cleanliness below acceptable standard
CP001700,20240627,2024-06-27,AK,TGG,Cleanliness,Resolved,6,3,Yes,Email,Aircraft or terminal cleanliness below acceptable standard
CP001701,20231129,2023-11-29,MH,KUA,Check-in Service,Resolved,11,3,No,Website,"Long queue at check-in counter, insufficient staff"
CP001702,20230705,2023-07-05,MH,IPH,Baggage Handling,In Progress,12,,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001703,20240522,2024-05-22,FY,KUA,Ground Staff Attitude,In Progress,36,,No,Social Media,Unprofessional behaviour from ground handling staff
CP001704,20240422,2024-04-22,OD,LGK,Flight Delay,Resolved,7,4,No,Website,Flight delayed without adequate notification to passengers
CP001705,20241022,2024-10-22,FY,AOR,Check-in Service,Pending,,,No,Counter,"Long queue at check-in counter, insufficient staff"
CP001706,20231106,2023-11-06,OD,TWU,Check-in Service,Resolved,14,4,No,Website,"Long queue at check-in counter, insufficient staff"
CP001707,20240425,2024-04-25,MF,LGK,Flight Delay,In Progress,20,,Yes,Phone,Flight delayed without adequate notification to passengers
CP001708,20230121,2023-01-21,MH,KUA,Flight Delay,Resolved,12,4,Yes,Counter,Flight delayed without adequate notification to passengers
CP001709,20240827,2024-08-27,D7,JHB,Baggage Handling,Pending,,,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001710,20230613,2023-06-13,MH,TWU,In-flight Service,Resolved,2,5,No,Email,Poor in-flight service quality reported by passengers
CP001711,20240801,2024-08-01,MF,SBW,In-flight Service,Resolved,1,4,No,Phone,Poor in-flight service quality reported by passengers
CP001712,20230816,2023-08-16,AK,PEN,Check-in Service,Resolved,2,5,No,Website,"Long queue at check-in counter, insufficient staff"
CP001713,20241222,2024-12-22,AK,SDK,Check-in Service,Pending,,,No,Website,"Long queue at check-in counter, insufficient staff"
CP001714,20240104,2024-01-04,OD,KUL,Flight Delay,Resolved,5,3,No,Social Media,Flight delayed without adequate notification to passengers
CP001715,20231215,2023-12-15,AK,TGG,Refund/Compensation,Resolved,14,3,No,Phone,Delay in processing refund or compensation claim
CP001716,20240529,2024-05-29,AK,SBW,Baggage Handling,Resolved,3,4,No,Website,Baggage delayed / damaged / lost upon arrival
CP001717,20231122,2023-11-22,FY,SBW,Flight Delay,Resolved,13,4,No,Counter,Flight delayed without adequate notification to passengers
CP001718,20230128,2023-01-28,AK,KCH,In-flight Service,Resolved,19,2,No,Phone,Poor in-flight service quality reported by passengers
CP001719,20240705,2024-07-05,MH,MYY,Flight Delay,Resolved,16,2,No,Email,Flight delayed without adequate notification to passengers
CP001720,20230922,2023-09-22,AK,MYY,Ground Staff Attitude,Resolved,12,3,Yes,Email,Unprofessional behaviour from ground handling staff
CP001721,20241216,2024-12-16,OD,KBR,Baggage Handling,Pending,,,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001722,20230415,2023-04-15,MF,SBW,Ground Staff Attitude,In Progress,34,,No,Counter,Unprofessional behaviour from ground handling staff
CP001723,20240709,2024-07-09,AK,IPH,In-flight Service,Resolved,3,4,No,Social Media,Poor in-flight service quality reported by passengers
CP001724,20240930,2024-09-30,AK,LGK,Baggage Handling,Resolved,21,2,No,Email,Baggage delayed / damaged / lost upon arrival
CP001725,20231009,2023-10-09,MF,PEN,Cleanliness,In Progress,24,,Yes,Website,Aircraft or terminal cleanliness below acceptable standard
CP001726,20240811,2024-08-11,OD,PEN,Baggage Handling,Resolved,13,4,No,Counter,Baggage delayed / damaged / lost upon arrival
CP001727,20241028,2024-10-28,OD,KBR,Flight Delay,Resolved,2,5,Yes,Phone,Flight delayed without adequate notification to passengers
